名稱,編號,生成地點,侵臺次數,侵(近)臺日期,發布時間,解除時間,發布報數,最大強度,近中心最大風速,侵臺路徑分類,登陸地段,動態,災情,颱風災害專區網頁連結
葛萊拉 (CLARA),198119,"132.7, 12.7",僅一次,1981年 09月 20日,海上 1981-09-19 09:45:00陸上 1981-09-19 16:00:00,陸上 1981-09-21 15:00:00海上 1981-09-22 04:00:00,12,強烈,58 (公尺/秒),5,---,形成後向西北進行，經過呂宋島北部近海，仍向西北進行，由汕頭附近登陸。,各地無重大災情。,---
蓋依 (GAY),198123,"147.8, 13.8",僅一次,1981年 10月 20日,海上 1981-10-20 14:00:00,海上 1981-10-21 09:00:00,4,中度,45 (公尺/秒),---,---,形成後向西北行進，至那霸南方海面，轉向東北逐漸遠離。,---,---
艾克 (IKE),198104,"111.5, 17.3",僅一次,1981年 06月 13日,海上 1981-06-12 15:00:00陸上 1981-06-12 15:30:00,陸上 1981-06-13 21:00:00海上 1981-06-14 04:45:00,8,輕度,30 (公尺/秒),9,高雄至恆春間,形成後向東北東進行，抵東沙島附近時向東北東轉東北進行，於13日10時35分在東港附近登陸，由臺東附近出海(暴風圈横掠全臺)，在臺灣東北部海面消失。,南部、東部地區災情嚴重，有人員傷亡、失蹤。,---
伊瑪 (IRMA),198125,"147.8, 13.4",僅一次,1981年 11月 26日,海上 1981-11-25 09:45:00陸上 1981-11-25 16:00:00,陸上 1981-11-26 16:00:00海上 1981-11-26 21:15:00,7,輕度,28 (公尺/秒),---,---,原為超級強烈颱風，向西移穿過呂宋島後減弱為輕度颱風，而後轉向東北進行，經過蘭嶼近海，於宮古島附近消失。,---,---
裘恩 (JUNE),198105,"130.7, 14.8",僅一次,1981年 06月 20日,海上 1981-06-18 15:10:00陸上 1981-06-18 21:30:00,陸上 1981-06-21 04:00:00海上 1981-06-21 10:00:00,12,中度,38 (公尺/秒),6,宜蘭至花蓮間,形成後向西北轉北北西進行，於20日16時15分在宜蘭附近登陸，由桃園附近出海(暴風圈籠罩全臺)，轉向日本西南方海面逐漸遠離。,未造成嚴重災害，惟有人員死亡。,---
莫瑞 (MAURY),198108,"127.7, 20.2",僅一次,1981年 07月 19日,海上 1981-07-18 15:50:00陸上 1981-07-18 15:50:00,陸上 1981-07-20 08:15:00海上 1981-07-20 08:15:00,8,輕度,30 (公尺/秒),1,---,形成後向西北轉西北西進行，通過石垣島後再轉向西行進，通過基隆與彭佳嶼間進入福州(暴風圈掠過臺灣中部以北地區)。,北部有嚴重的災情(發生水災)，有人員傷亡、失蹤。,---
貝蒂 (BETTY),198021,"153.4, 9.9",僅一次,1980年 11月 06日,海上 1980-11-06 04:40:00陸上 1980-11-06 04:40:00,陸上 1980-11-07 04:00:00海上 1980-11-07 04:00:00,5,輕度,23 (公尺/秒),---,---,形成後向偏西進行，從呂宋島南南東方登陸，而由呂宋島北北西方出海，抵恆春東南方海面時轉向東北逐漸遠離。,---,---
喬琪亞 (GEORGIA),198005,"115.8, 16.2",僅一次,1980年 05月 24日,海上 1980-05-23 15:30:00,海上 1980-05-25 04:45:00,7,輕度,28 (公尺/秒),---,---,形成後向北北東進行，經東沙島西方海面，在汕頭附近登陸，沿海岸向東北進行，至福州附近消失。,---,---
艾達 (IDA),198007,"136.5, 14.7",僅一次,1980年 07月 10日,海上 1980-07-08 14:30:00陸上 1980-07-09 05:00:00,陸上 1980-07-11 15:15:00海上 1980-07-11 15:15:00,13,輕度,30 (公尺/秒),5,---,形成後向西北西進行，經過巴士海峽(暴風圈掠過南部)，隨後轉西北進行，由汕頭附近登陸。,僅南部發生海水倒灌，其餘地區未有災害。,---
開梅 (KIM),198009,"139.7, 10.0",僅一次,1980年 07月 26日,海上 1980-07-25 10:00:00,海上 1980-07-27 14:30:00,10,中度,45 (公尺/秒),---,---,形成後向西北西進行，穿越呂宋島東北部後，轉向西北行進，由汕頭西南方登陸。,---,---
諾瑞斯 (NORRIS),198012,"134.8, 18.2",僅一次,1980年 08月 27日,海上 1980-08-26 15:30:00陸上 1980-08-26 20:30:00,陸上 1980-08-28 14:30:00海上 1980-08-28 14:30:00,9,中度,43 (公尺/秒),2,宜蘭至花蓮間,形成後向西北西進行，抵臺灣東方海面向西北進行，於27日23時17分在宜蘭附近登陸，由新竹附近出海，在福建省平潭島附近進入大陸(暴風圈經過全臺)。,中、北部地區災情較重，有人員傷亡、失蹤。解決了中、北部之乾旱問題。,---
珀西 (PERCY),198014,"131.3, 17.1",僅一次,1980年 09月 18日,海上 1980-09-15 15:00:00陸上 1980-09-15 21:00:00,陸上 1980-09-19 03:00:00海上 1980-09-19 03:00:00,15,強烈,60 (公尺/秒),4,臺東至恆春間,形成後向西北西進行，至呂宋島東北方海面呈打轉現象，再以向西北轉西北西進行，於18日8時左右經過恆春附近(暴風圈掠過中、南部)，隨後自汕頭東北方進入大陸。,東南部地區有嚴重的災情，有人員傷亡。,---
魏恩 (WYNNE),198019,"154.2, 7.0",僅一次,1980年 10月 12日,海上 1980-10-10 15:30:00陸上 1980-10-11 15:10:00,陸上 1980-10-12 15:40:00海上 1980-10-13 04:00:00,11,強烈,65 (公尺/秒),---,---,形成後向西北西進行，抵臺灣東方海面向西北進行，經宮古島附近轉向北進行，撲向日本九州，逐漸遠離。,---,---
艾勒士 (ELLIS),197905,"131.9, 13.7",僅一次,1979年 07月 04日,海上 1979-07-03 16:45:00陸上 1979-07-03 22:05:00,陸上 1979-07-05 05:40:00海上 1979-07-05 09:30:00,8,中度,45 (公尺/秒),---,---,形成後向西北轉西北西進行，經呂宋島北部近海仍向西北西進行，在廣東南部登陸消失。,---,---
戈登 (GORDON),197907,"128.7, 20.2",僅一次,1979年 07月 28日,海上 1979-07-27 10:10:00陸上 1979-07-27 10:10:00,陸上 1979-07-29 05:20:00海上 1979-07-29 09:20:00,9,輕度,28 (公尺/秒),---,---,形成後向西北西進行，經恆春附近海面(暴風圈掠過南部)後，在汕頭附近登陸大陸。,---,---
賀璞 (HOPE),197908,"137.5, 16.8",僅一次,1979年 08月 01日,海上 1979-07-31 16:15:00陸上 1979-07-31 21:30:00,陸上 1979-08-02 09:10:00海上 1979-08-02 15:05:00,9,強烈,67 (公尺/秒),5,---,形成後向西北西進行，經恆春附近海面(暴風圈掠過中、南部)，隨後在澳門附近登陸。,中、南部略有災情，有人員傷亡。,---
歐敏 (IRVING),197909,"128.5, 16.5",僅一次,1979年 08月 14日,海上 1979-08-12 15:00:00陸上 1979-08-12 21:30:00,陸上 1979-08-15 15:30:00海上 1979-08-16 05:40:00,15,中度,40 (公尺/秒),6,---,形成時行徑不規則呈打轉現象，至呂宋島東北方海面時向北北西進行，經石垣島附近海面(暴風圈掠過東北部)後在韓國登陸而消失。,北部、東北部略有災情及有水患。,---
茱廸 (JUDY),197910,"143.4, 13.8",僅一次,1979年 08月 23日,海上 1979-08-22 05:00:00陸上 1979-08-22 10:00:00,陸上 1979-08-24 04:45:00海上 1979-08-24 10:00:00,10,強烈,58 (公尺/秒),---,---,形成後在宮古島東方近海，向西北西進行，進入浙江沿海而消失。,---,---
奧文 (OWEN),197915,"136.2, 13.9",僅一次,1979年 09月 26日,海上 1979-09-25 21:00:00,海上 1979-09-27 09:30:00,7,強烈,53 (公尺/秒),---,---,形成後向西北行進，至那霸南方海面時轉向東北方離去。,---,---
狄普 (TIP),197919,"153.3, 7.3",僅一次,1979年 10月 18日,海上 1979-10-15 16:00:00,海上 1979-10-18 14:10:00,13,強烈,58 (公尺/秒),---,---,形成後移至呂宋島東北方海面向西北轉北北西進行，至那霸南方近海轉向東北方遠離。,---,---
卡門 (CARMEN),197811,"144.9, 16.2",僅一次,1978年 08月 16日,海上 1978-08-15 08:30:00,海上 1978-08-16 15:00:00,6,中度,38 (公尺/秒),---,---,形成後向西北行進，於琉球那霸附近向西北西進行，進入東海後打轉72小時始向北北東侵襲韓國。,---,---
黛拉 (DELLA),197812,"125.2, 20.7",僅一次,1978年 08月 13日,海上 1978-08-12 15:40:00陸上 1978-08-12 15:40:00,陸上 1978-08-13 15:00:00海上 1978-08-13 15:00:00,5,輕度,20 (公尺/秒),2,宜蘭至花蓮間,形成後向西北行進，於13日10時左右由宜蘭南方登陸後即消失，並由桃園外海之副低壓取代，於14時由馬祖進入大陸(暴風圈掠過東部及東北部)。,未有災害。,---
歐莉芙 (OLIVE),197802,"131.3, 9.3",僅一次,1978年 04月 25日,海上 1978-04-24 14:45:00陸上 1978-04-24 21:00:00,陸上 1978-04-25 20:45:00海上 1978-04-26 04:00:00,7,中度,43 (公尺/秒),---,---,形成後向西北西進行，越過菲律賓中部後，在西沙島附近海面向東北進行，經恆春南方近海(暴風圈掠過臺灣南端)後，消失於琉球東方海面。,---,---
婀拉 (ORA),197823,"133.9, 17.2",僅一次,1978年 10月 13日,海上 1978-10-11 15:30:00陸上 1978-10-11 21:15:00,陸上 1978-10-14 09:00:00海上 1978-10-14 09:00:00,12,中度,40 (公尺/秒),6,---,形成後向西北行進，至蘭嶼東方近海時曾一度打轉，隨後沿著東海岸北上，經彭佳嶼東方海面後再轉向東北，進入日本九州南方海面。,北部及東北部地區有嚴重水災，災情嚴重，有人員傷亡失蹤(因東北季風及颱風環流影響)。,---
羅絲 (ROSE),197804,"124.8, 18.8",僅一次,1978年 06月 24日,海上 1978-06-23 15:00:00陸上 1978-06-23 15:00:00,陸上 1978-06-25 05:00:00海上 1978-06-25 05:00:00,7,輕度,20 (公尺/秒),3,成功(新港)至臺東間,形成後向西北西轉北北西進行，於24日20時15分在成功(新港)附近登陸後隨即消失(暴風圈掠過東南部)。,未有災害。,---
范迪 (WENDY),197808,"136.2, 21.4",僅一次,1978年 07月 29日,海上 1978-07-27 06:30:00陸上 1978-07-28 09:00:00,陸上 1978-07-30 05:00:00海上 1978-07-30 10:00:00,13,中度,40 (公尺/秒),---,---,形成後向西北進行，經過東海北部後轉向東北行進，進入日本海。,---,---
愛美 (AMY),197707,"126.4, 31.2",僅一次,1977年 08月 22日,海上 1977-08-18 22:00:00陸上 1977-08-19 15:30:00,陸上 1977-08-22 21:00:00海上 1977-08-22 21:00:00,17,輕度,21 (公尺/秒),7,高雄至恆春間,形成後呈不規則進行，通過巴士海峽，進入臺灣海峽南部呈現打轉，於22日15時左右於枋寮附近登陸消失，而另一中心在馬公附近發展後，通過中部由東北部出海(暴風圈掠過全臺)，進入東海後再增強侵襲日本九州。,未有災害。,---
寶佩 (BABE),197708,"141.5, 8.9",僅一次,1977年 09月 08日,海上 1977-09-07 16:00:00陸上 1977-09-08 15:50:00,陸上 1977-09-09 10:00:00海上 1977-09-09 15:30:00,9,強烈,65 (公尺/秒),---,---,形成後在呂宋島東方海面時向北北西進行，至琉球南方海面時，轉向北北東逐漸遠離。,---,---
黛納 (DINAH),197710,"127.8, 21.4",第 1 次,1977年 09月 15日,海上 1977-09-15 10:30:00陸上 1977-09-15 10:30:00,陸上 1977-09-16 21:00:00海上 1977-09-17 05:00:00,8,中度,35 (公尺/秒),---,---,形成後向西南進行，通過呂宋島北部，進入南海呈滯留，於18日轉向東北，抵臺灣海峽南部後又呈滯留及打轉，21日下午西進通過東沙島南方後向西南進行，登陸越南東部。,---,---
黛納 (DINAH),197710,"127.8, 21.4",第 2 次,1977年 09月 20日,海上 1977-09-18 16:00:00陸上 1977-09-18 16:00:00,陸上 1977-09-22 10:10:00海上 1977-09-22 15:40:00,17,中度,33 (公尺/秒),---,---,形成後向西南進行，通過呂宋島北部，進入南海呈滯留，於18日轉向東北，抵臺灣海峽南部後又呈滯留及打轉，21日下午西進通過東沙島南方後向西南進行，登陸越南東部。,---,---
芙瑞達 (FREDA),197712,"118.5, 19.4",僅一次,1977年 09月 24日,海上 1977-09-24 04:10:00,海上 1977-09-24 15:00:00,3,輕度,28 (公尺/秒),---,---,形成後向西北西進行，由雷州半島東北部登陸大陸。,---,---
魯絲 (RUTH),197702,"116.9, 16.0",僅一次,1977年 06月 16日,海上 1977-06-15 16:30:00陸上 1977-06-15 21:30:00,陸上 1977-06-17 05:30:00海上 1977-06-17 08:30:00,8,輕度,30 (公尺/秒),---,---,形成後向北北東進行，通過東沙島東方進入臺灣海峽，由馬祖附近登陸大陸後消失。,---,---
賽洛瑪 (THELMA),197704,"129.0, 15.2",僅一次,1977年 07月 25日,海上 1977-07-22 22:00:00陸上 1977-07-24 09:30:00,陸上 1977-07-25 21:30:00海上 1977-07-25 21:30:00,13,中度,40 (公尺/秒),7,高雄至恆春間,形成後向西北西進行，抵巴士海峽時轉向北至北北東進行，於25日9時10分自高雄附近登陸，而於臺中港附近出海(暴風圈掠過全臺)，由平潭附近登陸大陸。,造成數十年來南部地區最重大災害，有人員傷亡、失蹤。,---
薇拉 (VERA),197705,"130.2, 25.5",僅一次,1977年 07月 31日,海上 1977-07-28 21:30:00陸上 1977-07-29 15:00:00,陸上 1977-08-01 09:00:00海上 1977-08-01 16:00:00,16,強烈,55 (公尺/秒),2,彭佳嶼至宜蘭間,形成後向西南行進，至宮古島南方時轉向西北前進，呈V字型，於31日17時30分左右登陸基隆附近，由桃園新竹間出海，再由金門東北方近海登陸大陸(暴風圈掠過中部以北)。,造成北部地區嚴重災害，有人員傷亡、失蹤。,---
畢莉 (BILLIE),197613,"145.5, 15.2",僅一次,1976年 08月 09日,海上 1976-08-08 21:30:00陸上 1976-08-08 21:30:00,陸上 1976-08-10 15:00:00海上 1976-08-10 15:00:00,8,強烈,55 (公尺/秒),2,宜蘭至彭佳嶼間,形成後向西北西進行，經石垣島附近，於9日23時20分由三貂角附近登陸，由新竹附近出海(暴風圈掠過高雄以北)，於馬祖西南方登陸。,中部以北地區，有嚴重災害，有人員傷亡、失蹤。,---
戴特 (DOT),197615,"133.3, 22.9",僅一次,1976年 08月 21日,海上 1976-08-20 05:30:00,海上 1976-08-21 09:30:00,6,輕度,23 (公尺/秒),---,---,形成後向西北西進行，經那霸後進入浙江沿海。,---,---
芙安 (FRAN),197617,"148.5, 9.9",僅一次,1976年 09月 09日,海上 1976-09-07 16:00:00,海上 1976-09-09 15:00:00,9,強烈,68 (公尺/秒),---,---,形成後移至那霸島近海時轉向北北東，侵襲日本九州。,---,---
艾瑞絲 (IRIS),197620,"119.0, 16.6",僅一次,1976年 09月 16日,海上 1976-09-16 10:30:00,海上 1976-09-18 05:00:00,8,中度,35 (公尺/秒),---,---,形成後向西北轉西北西進行，通過東沙島南方海面後，登陸於雷州半島。,---,---
魯依絲 (LOUISE),197622,"146.1, 9.9",僅一次,1976年 11月 05日,海上 1976-11-03 16:00:00,海上 1976-11-05 21:50:00,10,強烈,68 (公尺/秒),---,---,形成後移至呂宋島東部海面時，轉向北北東逐漸遠離。,---,---
瑪芝 (MARGE),197623,"129.7, 16.3",僅一次,1976年 11月 10日,海上 1976-11-08 16:00:00,海上 1976-11-10 09:30:00,8,中度,33 (公尺/秒),---,---,形成後向西北轉北北西進行，抵達石垣島後轉向東北逐漸遠離。,---,---
魯碧 (RUBY),197607,"127.1, 11.7",僅一次,1976年 06月 29日,海上 1976-06-27 16:30:00陸上 1976-06-28 10:00:00,陸上 1976-06-30 10:30:00海上 1976-06-30 10:30:00,12,中度,33 (公尺/秒),---,---,形成後通過呂宋島進入南海，在東沙島打轉後向東北東進行，通過巴士海峽，抵琉球海面而消失。,---,---
貝蒂 (BETTY),197512,"139.4, 17.0",僅一次,1975年 09月 22日,海上 1975-09-21 09:30:00陸上 1975-09-21 16:00:00,陸上 1975-09-23 21:30:00海上 1975-09-23 21:30:00,11,中度,45 (公尺/秒),4,臺東附近,形成後在那霸島南方海面向西行進，於22日19時30分在臺東附近登陸後由高雄附近出海，再由汕頭北方登陸。,全臺均有災情，東部及南部災情較重，有人員傷亡、失蹤。,---
艾爾西 (ELSIE),197515,"134.4, 15.3",僅一次,1975年 10月 12日,海上 1975-10-11 09:30:00陸上 1975-10-11 21:15:00,陸上 1975-10-13 14:45:00海上 1975-10-13 20:30:00,10,強烈,70 (公尺/秒),5,---,形成後向西北西進行，通過巴士海峽，於香港附近登陸大陸。,屏東、臺東兩地略有災情。,---
芙勞西 (FLOSSIE),197516,"115.8, 15.5",僅一次,1975年 10月 21日,海上 1975-10-21 21:15:00,海上 1975-10-22 15:06:00,3,輕度,30 (公尺/秒),---,---,形成後在南海向北進行，於東沙島西南方轉向西北西進行。,---,---
妮娜 (NINA),197503,"132.8, 17.9",僅一次,1975年 08月 03日,海上 1975-08-02 09:00:00陸上 1975-08-02 09:00:00,陸上 1975-08-04 05:00:00海上 1975-08-04 05:00:00,8,強烈,65 (公尺/秒),2,宜蘭至花蓮間,形成後向西北轉西北西進行，於3日12時在花蓮附近登陸，由臺中附近出海，並由金門北方進入大陸。,全臺均有災情，尤以花蓮地區最嚴重，有人員傷亡、失蹤。,---
婀拉 (ORA),197504,"124.9, 21.9",僅一次,1975年 08月 11日,海上 1975-08-10 17:00:00陸上 1975-08-10 17:00:00,陸上 1975-08-11 22:10:00海上 1975-08-12 16:00:00,8,中度,35 (公尺/秒),---,---,形成後移至宮古島南方時向北進行，通過宮古島後轉向西北，由溫州北方登陸。,---,---
貝絲 (BESS),197423,"132.5, 15.0",僅一次,1974年 10月 11日,海上 1974-10-10 22:30:00,海上 1974-10-12 22:00:00,5,中度,38 (公尺/秒),5,---,形成後向西北轉西北西進行，通過呂宋島北端進入南海後，登陸海南島。,東部及東北部有嚴重災害，有人員傷亡、失蹤(受到颱風環流及東北季風雙重影響，造成水災)。,---
黛拉 (DELLA),197425,"129.2, 12.8",僅一次,1974年 10月 23日,海上 1974-10-23 10:40:00,海上 1974-10-24 15:40:00,4,中度,40 (公尺/秒),---,---,形成後向西北西進行，至呂宋島北部近海向西南進行，抵呂宋島西部後轉向西逐漸遠離。,---,---
艾琳 (ELAINE),197426,"136.4, 17.7",僅一次,1974年 10月 28日,海上 1974-10-27 21:30:00,海上 1974-10-29 09:40:00,4,強烈,51 (公尺/秒),---,---,形成後向西到西北西進行，通過呂宋島北部後，抵達南海後西進登陸於大陸。,---,---
